country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Germany,2880000000,3270000000,4310000000,4980000000,4890000000,4980000000,5060000000,5350000000,4830000000,5470000000,6170000000,7260000000,9010000000,11900000000,13800000000,15300000000,15500000000,17300000000,21400000000,24800000000,26700000000,23100000000,22300000000,22100000000,20100000000,19900000000,27700000000,34100000000,35100000000,33600000000,42300000000,39500000000,42000000000,37200000000,36300000000,41200000000,39000000000,33200000000,33100000000,32600000000,28100000000,27400000000,29300000000,35100000000,38000000000,38100000000,38100000000,42600000000,48100000000,47500000000,46300000000,48100000000,46500000000,45900000000,46100000000,39800000000,41600000000,45400000000,49500000000
Ghana,20800000,27500000,27900000,31100000,33300000,35600000,47300000,,44300000,49000000,46900000,41100000,30200000,41100000,64100000,78800000,89000000,122000000,101000000,66400000,121000000,196000000,170000000,71100000,44600000,63200000,51700000,43300000,22800000,22600000,27600000,41400000,41700000,41000000,37800000,49100000,44400000,45500000,57500000,59300000,50900000,32400000,37000000,53200000,56400000,64200000,75700000,126000000,114000000,118000000,122000000,234000000,337000000,255000000,253000000,191000000,162000000,189000000,218000000
Greece,170000000,168000000,170000000,179000000,188000000,210000000,239000000,313000000,367000000,425000000,474000000,516000000,574000000,675000000,1050000000,1430000000,1560000000,1840000000,2120000000,2420000000,2280000000,2580000000,2640000000,2200000000,1990000000,1930000000,2000000000,2400000000,2750000000,2560000000,3190000000,3150000000,3620000000,3360000000,3590000000,4180000000,4610000000,4570000000,4820000000,5010000000,4560000000,4430000000,4730000000,5040000000,6270000000,7030000000,7610000000,8530000000,10600000000,10600000000,8160000000,7130000000,5910000000,5660000000,5530000000,4820000000,4960000000,5090000000,5230000000
Guatemala,12100000,12100000,12000000,14800000,13000000,18600000,19100000,21200000,20400000,17600000,32300000,22200000,24000000,23400000,28400000,44900000,55500000,75200000,71700000,90200000,104000000,163000000,177000000,184000000,207000000,224000000,141000000,124000000,147000000,152000000,132000000,119000000,154000000,144000000,153000000,158000000,141000000,132000000,140000000,124000000,158000000,197000000,158000000,179000000,115000000,104000000,131000000,136000000,166000000,147000000,170000000,197000000,224000000,250000000,246000000,252000000,291000000,275000000,278000000
Guinea,,,,,,10500000,13900000,,14200000,14700000,15100000,26300000,31700000,36100000,,,,,85200000,71000000,60300000,52500000,52300000,,,,,,,,,71800000,55700000,44000000,45900000,,,44400000,45000000,55200000,46000000,87700000,98100000,84100000,81000000,,,,,,,,169000000,197000000,197000000,221000000,162000000,199000000,209000000
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,9410000,18100000,6470000,4650000,6130000,3880000,,4430000,,,,,2020000,2210000,1900000,1820000,2900000,,9530000,6180000,6360000,7510000,,12100000,,,,13700000,17100000,17500000,24500000,21700000,21500000,17000000,,,
Guyana,,,,,,,,,,,,,,5030000,11100000,32400000,34000000,24300000,17300000,17200000,21900000,22400000,24700000,22100000,20700000,39000000,27800000,10600000,11000000,6020000,3590000,2030000,3630000,4440000,5490000,5690000,5560000,,,,12600000,14400000,16700000,16300000,22100000,18500000,19200000,25000000,30500000,31100000,31100000,32400000,33500000,35200000,39300000,46400000,51600000,59700000,59800000
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970000,2230000,2670000,2620000,1740000,1650000,1600000,2480000,,,,,,,,,,,,,,,,,,51600,53500,73600,64500,73600,79700
Honduras,3920000,3830000,3830000,3820000,5850000,6250000,6500000,6800000,7050000,7200000,9900000,11400000,15400000,16000000,16900000,21400000,23700000,31800000,43100000,49600000,57000000,60500000,67000000,70000000,81000000,94000000,106000000,123000000,132000000,138000000,67100000,47400000,,40600000,,,,,,,52500000,63000000,63600000,82200000,60600000,62600000,75600000,95900000,132000000,157000000,170000000,200000000,212000000,295000000,314000000,356000000,363000000,398000000,410000000
Hungary,,,,,,,,,150000000,173000000,223000000,226000000,232000000,263000000,308000000,366000000,382000000,420000000,538000000,621000000,741000000,758000000,751000000,701000000,641000000,1030000000,766000000,824000000,1030000000,813000000,847000000,723000000,812000000,736000000,757000000,612000000,585000000,696000000,618000000,703000000,716000000,845000000,1080000000,1400000000,1530000000,1600000000,1410000000,1780000000,1870000000,1480000000,1350000000,1470000000,1320000000,1280000000,1210000000,1130000000,1290000000,1460000000,1640000000
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,682000000,748000000,1070000000,1800000000,1990000000,2130000000,1660000000,1490000000,1590000000,1690000000,1830000000,2260000000,2500000000,2530000000,2900000000,3320000000,3290000000,3480000000,3980000000,4590000000,5420000000,5880000000,6300000000,6830000000,6960000000,7570000000,9540000000,10900000000,11300000000,10600000000,10500000000,8620000000,8080000000,8250000000,8880000000,9750000000,9900000000,11500000000,11900000000,13900000000,14300000000,14600000000,14700000000,16300000000,20200000000,23100000000,24000000000,28300000000,33000000000,38700000000,46100000000,49600000000,47200000000,47400000000,50900000000,51300000000,56600000000,64600000000,66500000000
Indonesia,,,,,,,,,,,,,,,698000000,1060000000,1280000000,1470000000,1630000000,1550000000,2110000000,2650000000,2740000000,2050000000,2000000000,1920000000,1730000000,1350000000,1360000000,1410000000,1610000000,1700000000,1890000000,1930000000,2240000000,2480000000,2870000000,3230000000,973000000,1140000000,1130000000,919000000,1370000000,2130000000,2430000000,2150000000,2610000000,3350000000,3230000000,3300000000,4660000000,5840000000,6530000000,8380000000,6930000000,7640000000,7390000000,8180000000,7440000000
Iran,98700000,106000000,110000000,129000000,155000000,200000000,256000000,331000000,437000000,566000000,620000000,402000000,372000000,481000000,3880000000,5950000000,7190000000,7620000000,8110000000,4990000000,4870000000,8120000000,9700000000,10600000000,9930000000,10700000000,11700000000,15300000000,18900000000,16300000000,16500000000,17500000000,19700000000,1450000000,1700000000,2500000000,3550000000,4640000000,5480000000,6650000000,8330000000,10400000000,3240000000,3720000000,5240000000,6800000000,8750000000,9330000000,11100000000,12600000000,13600000000,14300000000,16500000000,12000000000,9900000000,10600000000,12300000000,13900000000,13200000000
Iraq,119000000,125000000,135000000,163000000,185000000,226000000,235000000,235000000,291000000,376000000,401000000,426000000,466000000,665000000,1430000000,1590000000,1760000000,2010000000,1990000000,2370000000,2980000000,4090000000,,,,,,,,,,,,,,,,,,,,,,,614000000,1120000000,1240000000,1990000000,3120000000,3240000000,3750000000,4280000000,4140000000,7780000000,6920000000,9600000000,5970000000,7420000000,6320000000
Ireland,25800000,27600000,29200000,30200000,36100000,39100000,38300000,39700000,37100000,41600000,51000000,63500000,84000000,98300000,111000000,154000000,153000000,172000000,217000000,290000000,363000000,327000000,342000000,310000000,284000000,301000000,409000000,435000000,453000000,434000000,594000000,625000000,674000000,598000000,634000000,702000000,751000000,765000000,742000000,742000000,695000000,768000000,811000000,965000000,1100000000,1140000000,1190000000,1370000000,1580000000,1420000000,1270000000,1300000000,1160000000,1200000000,1190000000,997000000,1000000000,1030000000,1210000000
Israel,190000000,242000000,211000000,259000000,279000000,314000000,376000000,606000000,690000000,872000000,1260000000,1270000000,1460000000,2570000000,3480000000,3760000000,3650000000,3180000000,3120000000,3390000000,4120000000,4700000000,4520000000,4270000000,4210000000,4000000000,4390000000,6000000000,7690000000,6270000000,7380000000,10500000000,8260000000,8760000000,8780000000,8980000000,9600000000,9690000000,9150000000,8650000000,9410000000,9610000000,10100000000,10800000000,11100000000,10900000000,11600000000,12100000000,14200000000,14000000000,14600000000,16300000000,15600000000,17300000000,18500000000,17000000000,14800000000,15600000000,15900000000
Italy,1010000000,1060000000,1220000000,1460000000,1590000000,1720000000,1900000000,1930000000,1990000000,2000000000,2220000000,2650000000,3290000000,3640000000,3890000000,4220000000,3840000000,4560000000,5540000000,6900000000,7920000000,7390000000,8060000000,8410000000,8300000000,8250000000,11900000000,15700000000,17400000000,17700000000,20700000000,21600000000,22200000000,18200000000,18100000000,17200000000,20800000000,20200000000,20800000000,21000000000,19900000000,19500000000,21600000000,26800000000,30300000000,29700000000,29600000000,32000000000,36800000000,34100000000,32000000000,33800000000,29800000000,30000000000,27700000000,22200000000,25000000000,26400000000,27800000000
Jamaica,,,,,,,,,,,,,,,,,27400000,30600000,,,,44900000,53600000,50200000,25200000,18700000,23500000,25300000,30900000,40900000,38600000,31900000,47200000,44500000,34200000,35300000,41800000,54900000,47600000,45100000,43600000,46400000,56900000,54800000,54500000,59300000,72600000,83500000,131000000,115000000,116000000,134000000,138000000,128000000,121000000,124000000,138000000,144000000,208000000
Japan,481000000,492000000,538000000,630000000,718000000,821000000,932000000,1040000000,1170000000,1340000000,1580000000,1900000000,2570000000,3370000000,3960000000,4530000000,5010000000,6160000000,8660000000,9170000000,9710000000,10900000000,10200000000,11400000000,12200000000,13100000000,19500000000,23600000000,28200000000,28000000000,28800000000,32800000000,36000000000,41400000000,45300000000,50000000000,44000000000,40600000000,37800000000,43100000000,45500000000,40800000000,39300000000,42500000000,45300000000,44300000000,41600000000,40500000000,46400000000,51500000000,54700000000,60800000000,60000000000,49000000000,46900000000,42100000000,46500000000,45400000000,46600000000
Jordan,56100000,55500000,60400000,61900000,61900000,62900000,76100000,105000000,128000000,126000000,110000000,109000000,129000000,151000000,163000000,181000000,295000000,263000000,305000000,400000000,416000000,439000000,465000000,485000000,458000000,502000000,626000000,647000000,588000000,383000000,322000000,433000000,368000000,391000000,408000000,300000000,417000000,444000000,496000000,512000000,529000000,529000000,522000000,612000000,587000000,604000000,702000000,1030000000,1360000000,1570000000,1560000000,1590000000,1470000000,1440000000,1550000000,1610000000,1770000000,1940000000,1960000000
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107000000,178000000,242000000,237000000,243000000,144000000,144000000,221000000,246000000,318000000,426000000,592000000,793000000,1360000000,1540000000,1270000000,1500000000,1800000000,2180000000,2550000000,2310000000,2050000000,1280000000,1390000000,1610000000
Kenya,,,,1860000,5880000,9900000,13000000,16000000,16400000,15700000,17000000,22100000,29700000,37300000,46800000,54100000,75900000,148000000,239000000,291000000,272000000,241000000,244000000,209000000,175000000,146000000,181000000,250000000,251000000,229000000,246000000,192000000,156000000,106000000,117000000,149000000,171000000,176000000,172000000,152000000,166000000,195000000,214000000,246000000,260000000,317000000,376000000,495000000,580000000,578000000,622000000,647000000,840000000,861000000,819000000,844000000,933000000,1020000000,1100000000
Kuwait,,,,,,,,,,,68700000,73400000,90700000,137000000,385000000,,,749000000,738000000,881000000,951000000,1040000000,1290000000,1430000000,1470000000,1380000000,1300000000,1340000000,1700000000,2080000000,8960000000,12900000000,6320000000,2980000000,3300000000,3690000000,3240000000,2450000000,2280000000,2290000000,2700000000,2690000000,2820000000,3130000000,3450000000,3510000000,3600000000,4120000000,4430000000,4210000000,4340000000,5390000000,5940000000,5700000000,5830000000,5740000000,6450000000,6760000000,7300000000
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12100000,26700000,28300000,31200000,26100000,23100000,25800000,22200000,25900000,32600000,37200000,39700000,47200000,50900000,61100000,67200000,77200000,86400000,108000000,119000000,128000000,117000000,116000000,122000000,121000000
Lao,,,,,,,,35500000,35500000,36100000,38000000,39100000,20300000,21200000,,,,,,,,,,,,,,,,,,,102000000,108000000,116000000,104000000,78400000,67100000,33400000,15400000,13700000,12600000,11400000,11000000,11500000,12000000,13400000,14800000,16300000,14000000,15400000,19000000,20300000,22700000,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17700000,33900000,43600000,38200000,38000000,42200000,56600000,70000000,87000000,147000000,189000000,229000000,273000000,368000000,481000000,582000000,364000000,260000000,297000000,256000000,284000000,296000000,283000000,407000000,509000000,680000000
Lebanon,22900000,27800000,40900000,33900000,38100000,44600000,51400000,57700000,65600000,65100000,64500000,66900000,106000000,104000000,179000000,166000000,173000000,126000000,253000000,346000000,503000000,373000000,247000000,492000000,475000000,227000000,148000000,37000000,39300000,,214000000,229000000,443000000,453000000,637000000,746000000,736000000,678000000,694000000,830000000,930000000,959000000,907000000,923000000,955000000,963000000,1010000000,1150000000,1170000000,1430000000,1590000000,1630000000,1760000000,1940000000,2270000000,2240000000,2610000000,2440000000,2780000000
Lesotho,,,,,,,,,,,,,,,,,2290000,2780000,4010000,5370000,11600000,12400000,15000000,14100000,12300000,10700000,13400000,18100000,17000000,22600000,24200000,22300000,24200000,22100000,25900000,34400000,28300000,28700000,27800000,34100000,30600000,23400000,19600000,27400000,31400000,33600000,35200000,39800000,27400000,47400000,70700000,58200000,53200000,47900000,47700000,44000000,41500000,52600000,51100000
Liberia,,,,,,2700000,2800000,3050000,3050000,3050000,3550000,4050000,4050000,3750000,4550000,5500000,6400000,7750000,8900000,9400000,12800000,26400000,43400000,38800000,25000000,25200000,24400000,22300000,25000000,,,25000000,22700000,30500000,39300000,,,,,,,,,,3180000,8030000,3930000,3490000,3910000,7190000,8460000,13300000,15200000,15100000,14500000,14800000,14700000,15300000,15800000
Libya,5570000,7170000,16700000,18700000,21500000,29100000,58500000,79500000,95500000,143000000,242000000,243000000,203000000,298000000,432000000,288000000,326000000,480000000,730000000,854000000,1070000000,557000000,709000000,,,,,,,,,,,,,,,1250000000,1440000000,1150000000,1090000000,820000000,453000000,541000000,685000000,691000000,614000000,639000000,1100000000,,,,2990000000,3960000000,3760000000,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20800000,21100000,30500000,42300000,75600000,138000000,106000000,140000000,167000000,181000000,211000000,271000000,304000000,352000000,442000000,541000000,405000000,326000000,345000000,329000000,355000000,427000000,471000000,635000000,812000000,1030000000
Luxembourg,5260000,5800000,7100000,6960000,9280000,9520000,9920000,8230000,7480000,7820000,8310000,9050000,11700000,15400000,18200000,22700000,25500000,28700000,36600000,42400000,52400000,46200000,41400000,41200000,38700000,38100000,53500000,73200000,86000000,76000000,96700000,108000000,123000000,108000000,126000000,142000000,141000000,134000000,143000000,141000000,128000000,160000000,153000000,199000000,235000000,244000000,247000000,286000000,237000000,223000000,274000000,257000000,238000000,259000000,279000000,276000000,261000000,358000000,419000000
Madagascar,1600000,8480000,9180000,8960000,9460000,10700000,11300000,12100000,13000000,13000000,12100000,12800000,16100000,20300000,25900000,30200000,33000000,44000000,52200000,81900000,90400000,86500000,,,55100000,50900000,50600000,36700000,32900000,30200000,37900000,34700000,23100000,37800000,27600000,27200000,49400000,52500000,50400000,45000000,47200000,65000000,57700000,72500000,54500000,54000000,53900000,81900000,103000000,71000000,56900000,72000000,68600000,71900000,69700000,58900000,59400000,66900000,73300000
Malawi,,,,,,1770000,1850000,2130000,1880000,1960000,2060000,2340000,2700000,4710000,5300000,9360000,9210000,13600000,25600000,43000000,53100000,38500000,27000000,22200000,18800000,19800000,24700000,21600000,20200000,22800000,24300000,23700000,25200000,25700000,17100000,11000000,20200000,26400000,14500000,14400000,11700000,12700000,14800000,13100000,22000000,38200000,31100000,33600000,44500000,58800000,50000000,52800000,46200000,62900000,49500000,40800000,35700000,47400000,58400000
Malaysia,51300000,42500000,43800000,60800000,84600000,119000000,149000000,143000000,148000000,144000000,200000000,228000000,251000000,297000000,397000000,441000000,440000000,638000000,607000000,779000000,1040000000,1450000000,1440000000,1340000000,1270000000,1080000000,894000000,1330000000,856000000,1020000000,1130000000,1570000000,1770000000,1920000000,2120000000,2440000000,2420000000,2090000000,1160000000,1660000000,1530000000,1930000000,2240000000,2880000000,2820000000,3120000000,3270000000,3970000000,4410000000,3960000000,3850000000,4690000000,4510000000,4920000000,4920000000,4530000000,4170000000,3490000000,3470000000
Mali,,3920000,4340000,4380000,5170000,4650000,4640000,5080000,5250000,5670000,6150000,6320000,8330000,11000000,11600000,19100000,21800000,26100000,31000000,36200000,38300000,31600000,29500000,26800000,25400000,29800000,37500000,44300000,48000000,46100000,52200000,,,44500000,29900000,40500000,39700000,40300000,41000000,43900000,43700000,44900000,49400000,66800000,77400000,86500000,96000000,110000000,143000000,144000000,147000000,161000000,149000000,154000000,218000000,309000000,362000000,459000000,495000000
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,12900000,16500000,23100000,22400000,21300000,21200000,21700000,26700000,24600000,27900000,31100000,33300000,31100000,29100000,28000000,25400000,27100000,28400000,34100000,40500000,52500000,44400000,49300000,56000000,59100000,58700000,55900000,49900000,53800000,56500000,51800000,59700000,64200000,69300000
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,41100000,42500000,43700000,43000000,38900000,40200000,39400000,39400000,30200000,29500000,32000000,37900000,41600000,25600000,32000000,37900000,51900000,36300000,62400000,,66700000,81900000,,123000000,115000000,,,142000000,144000000,145000000,133000000,136000000,144000000,159000000
Mauritius,,,,,,,,,271000,337000,414000,474000,543000,643000,789000,1090000,1320000,1420000,1750000,2480000,5540000,5330000,2830000,2930000,2620000,2360000,2900000,3650000,4690000,6330000,9180000,10500000,11400000,10800000,11900000,13400000,13000000,9800000,8460000,9040000,9360000,8980000,9500000,10900000,10900000,10900000,10800000,11600000,15600000,15300000,14900000,17500000,16700000,23200000,19700000,21100000,23000000,23800000,23200000
Mexico,84000000,86400000,99200000,112000000,120000000,119000000,130000000,134000000,149000000,180000000,177000000,191000000,242000000,301000000,407000000,505000000,532000000,438000000,518000000,680000000,810000000,1280000000,858000000,779000000,1160000000,1240000000,817000000,813000000,982000000,1150000000,1330000000,1600000000,2000000000,2330000000,2890000000,1710000000,2060000000,2390000000,2480000000,2910000000,3320000000,3540000000,3480000000,3250000000,3130000000,3620000000,4080000000,4780000000,4940000000,4860000000,5900000000,6470000000,6980000000,7840000000,8660000000,7740000000,6020000000,5780000000,6570000000
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13300000,15400000,17400000,10600000,5990000,5090000,5960000,6980000,8250000,9380000,12000000,16400000,22700000,36800000,24900000,18300000,23000000,23900000,26700000,27600000,23100000,29700000,30600000,34000000
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111000000,33000000,14100000,16400000,21300000,21600000,18700000,19900000,18000000,24300000,23100000,25300000,24300000,27700000,29800000,39200000,56600000,66700000,37600000,54900000,87200000,114000000,103000000,105000000,102000000,96400000,82800000,96100000
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60800000,62300000,64200000,85100000,76700000,75100000,79400000,67700000,64800000,67500000,56900000,61700000,65700000,83800000
Morocco,41600000,48300000,53800000,74900000,70000000,63200000,67900000,70300000,90900000,85000000,88900000,111000000,140000000,186000000,242000000,413000000,577000000,731000000,773000000,896000000,1120000000,976000000,959000000,628000000,512000000,692000000,729000000,815000000,917000000,991000000,1070000000,1150000000,1230000000,1250000000,1370000000,1440000000,1450000000,1400000000,1440000000,1210000000,859000000,1470000000,1470000000,1820000000,1940000000,2030000000,2130000000,2410000000,2940000000,3060000000,3160000000,3340000000,3400000000,4070000000,4050000000,3270000000,3330000000,3460000000,3700000000
Mozambique,,,,,,,,,,,,,,,,,,39100000,76300000,78000000,92300000,99300000,103000000,116000000,137000000,148000000,171000000,83600000,63900000,79100000,84600000,71800000,59600000,59400000,72900000,33500000,36000000,42000000,49300000,56500000,55400000,50600000,53500000,59800000,77600000,62200000,57400000,68600000,83700000,84300000,99200000,119000000,139000000,158000000,174000000,120000000,112000000,128000000,145000000
Myanmar,89500000,85600000,90700000,100000000,97900000,107000000,105000000,102000000,105000000,114000000,123000000,128000000,117000000,152000000,160000000,139000000,155000000,169000000,183000000,191000000,202000000,205000000,195000000,192000000,189000000,197000000,232000000,204000000,255000000,550000000,814000000,943000000,1370000000,2060000000,2800000000,3930000000,4680000000,4780000000,5870000000,6950000000,9030000000,9460000000,11000000000,24200000000,29900000000,33000000000,,,,,,,2970000000,2370000000,2370000000,2550000000,2460000000,2220000000,2030000000
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000000,125000000,70200000,57000000,68200000,66500000,83700000,78900000,106000000,92400000,96800000,88000000,129000000,167000000,192000000,200000000,228000000,266000000,300000000,397000000,444000000,412000000,390000000,537000000,518000000,425000000,458000000,452000000
Nepal,,,,,,,,,,,5190000,5890000,6500000,7150000,8450000,10500000,11900000,13200000,14900000,17300000,20100000,22000000,25500000,29100000,29200000,30500000,31100000,33900000,35800000,36300000,37900000,35400000,37600000,37000000,39300000,39800000,39500000,42600000,42300000,47500000,51400000,64700000,85400000,103000000,131000000,159000000,157000000,170000000,187000000,210000000,255000000,285000000,257000000,281000000,328000000,324000000,356000000,405000000,399000000
Netherlands,455000000,552000000,604000000,637000000,735000000,750000000,771000000,884000000,906000000,1020000000,1080000000,1250000000,1520000000,1920000000,2290000000,2810000000,2900000000,3700000000,4230000000,5040000000,5270000000,4530000000,4830000000,4260000000,3980000000,3880000000,5350000000,6540000000,6730000000,6400000000,7420000000,7250000000,7900000000,7050000000,7140000000,8010000000,7830000000,6840000000,6840000000,7030000000,5970000000,6200000000,6730000000,8360000000,9380000000,9570000000,10200000000,11500000000,12400000000,12100000000,11200000000,11600000000,10400000000,10200000000,10300000000,8670000000,9120000000,9580000000,11200000000
New Zealand,101000000,96700000,96300000,100000000,123000000,127000000,148000000,150000000,136000000,148000000,172000000,181000000,206000000,246000000,291000000,292000000,272000000,307000000,389000000,437000000,677000000,660000000,609000000,568000000,530000000,529000000,691000000,926000000,962000000,960000000,1060000000,989000000,870000000,867000000,980000000,1150000000,1240000000,1180000000,969000000,970000000,858000000,797000000,866000000,1130000000,1290000000,1390000000,1460000000,1710000000,1660000000,1620000000,1930000000,2080000000,2090000000,2130000000,2270000000,1940000000,2090000000,2330000000,2260000000
Nicaragua,,,,,,,,,6890000,6990000,8350000,8440000,11000000,10400000,15000000,18500000,25200000,35200000,44500000,32300000,47200000,71900000,,,,,,,,,1140000000,67700000,47200000,40200000,35400000,35100000,31500000,30300000,26300000,26900000,30800000,28200000,34800000,35300000,32600000,34100000,37300000,39500000,42700000,41700000,44300000,51500000,70100000,74500000,81400000,98900000,85100000,86700000,81600000
Niger,,,,,,,,,,,,,,,,7330000,8180000,11000000,14800000,17500000,17000000,14000000,12800000,12400000,10600000,10900000,14400000,13700000,,,,,,,17500000,18400000,17400000,17300000,22000000,23600000,20100000,24800000,20700000,24600000,31600000,32800000,,,53600000,53000000,66900000,83900000,149000000,106000000,146000000,,166000000,200000000,230000000
Nigeria,23400000,28300000,38600000,45500000,54300000,65900000,55700000,240000000,369000000,684000000,662000000,639000000,904000000,1020000000,1350000000,3030000000,2640000000,3140000000,3020000000,3070000000,3030000000,2140000000,1650000000,1630000000,1210000000,1090000000,517000000,202000000,271000000,171000000,277000000,244000000,174000000,289000000,320000000,639000000,701000000,819000000,1150000000,492000000,369000000,571000000,897000000,587000000,640000000,674000000,776000000,971000000,1620000000,1500000000,1990000000,2380000000,2320000000,2420000000,2360000000,2070000000,1720000000,1620000000,2040000000
